Outome,Prob Outcome (no normalized),Prob outcome (normalized),Max Likelihood,Probability of Success,Step 0 : outcome,Step 0 : probability,Step 0 : max likelihood,Step 1 : outcome,Step 1 : probability,Step 1 : max likelihood,Step 2 : outcome,Step 2 : probability,Step 2 : max likelihood,Step 3 : outcome,Step 3 : probability,Step 3 : max likelihood,Step 4 : outcome,Step 4 : probability,Step 4 : max likelihood
00000,4.912380137841332e-34,6.993338702297086e-35,0.9191100937983873,6.427648190632166e-35,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,000,0.3306779389599864,0.47893497399257834,0000,0.1594158497352652,0.9191100937983873,00000,4.912380137841332e-34,0.9191100937983873
00001,0.1594158497352652,0.02269468160912949,0.9191100937983873,0.02085891094249154,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,000,0.3306779389599864,0.47893497399257834,0000,0.1594158497352652,0.9191100937983873,00001,0.1594158497352652,0.9191100937983873
00010,0.17126208922472116,0.02438113018952574,0.8555350297687445,0.02085891094249154,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,000,0.3306779389599864,0.47893497399257834,0001,0.17126208922472116,0.8555350297687445,,,
00011,0.17126208922472116,0.02438113018952574,0.8555350297687445,0.02085891094249154,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,000,0.3306779389599864,0.47893497399257834,0001,0.17126208922472116,0.8555350297687445,,,
00100,0.19784347552650275,0.028165296568527638,0.8004976139559633,0.022546252699468455,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,001,0.19784347552650275,0.8004976139559633,,,,,,
00101,0.19784347552650275,0.028165296568527638,0.8004976139559633,0.022546252699468455,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,001,0.19784347552650275,0.8004976139559633,,,,,,
00110,0.19784347552650275,0.028165296568527638,0.8004976139559633,0.022546252699468455,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,001,0.19784347552650275,0.8004976139559633,,,,,,
00111,0.19784347552650275,0.028165296568527638,0.8004976139559633,0.022546252699468455,0,0.7550965267851354,0.24504440032697503,00,0.5285214144864891,0.3238932715593006,001,0.19784347552650275,0.8004976139559633,,,,,,
01000,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
01001,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
01010,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
01011,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
01100,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
01101,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
01110,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
01111,0.22657511229864621,0.03225557585842129,0.7555310390910966,0.024370088744794727,0,0.7550965267851354,0.24504440032697503,01,0.22657511229864621,0.7555310390910966,,,,,,,,,
10000,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
10001,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
10010,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
10011,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
10100,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
10101,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
10110,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
10111,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11000,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11001,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11010,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11011,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11100,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11101,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11110,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
11111,0.2449034732148645,0.03486482905439613,0.7555310390910968,0.02634146052320137,1,0.2449034732148645,0.7555310390910968,,,,,,,,,,,,
TOTAL,7.0243704001177205,1.0000000000000002,,0.7691858219549286
