Output|H5 (00001)|H4 (00011)|H3 (00111)|H2 (01111)|H1 (11111)|[1] P_PSI|[1] P_PHI|[1] V_PSI|[1] V_PHI|[1] p_psi_psi|[1] p_phi_psi|[1] p_psi_phi|[1] p_phi_phi|[1] result|[1] P(result)|[1] H5|[1] H4|[1] H3|[1] H2|[1] H1|[2] P_PSI|[2] P_PHI|[2] V_PSI|[2] V_PHI|[2] p_psi_psi|[2] p_phi_psi|[2] p_psi_phi|[2] p_phi_phi|[2] result|[2] P(result)|[2] H5|[2] H4|[2] H3|[2] H2|[2] H1|[3] P_PSI|[3] P_PHI|[3] V_PSI|[3] V_PHI|[3] p_psi_psi|[3] p_phi_psi|[3] p_psi_phi|[3] p_phi_phi|[3] result|[3] P(result)|[3] H5|[3] H4|[3] H3|[3] H2|[3] H1|[4] P_PSI|[4] P_PHI|[4] V_PSI|[4] V_PHI|[4] p_psi_psi|[4] p_phi_psi|[4] p_psi_phi|[4] p_phi_phi|[4] result|[4] P(result)|[4] H5|[4] H4|[4] H3|[4] H2|[4] H1|[5] P_PSI|[5] P_PHI|[5] V_PSI|[5] V_PHI|[5] p_psi_psi|[5] p_phi_psi|[5] p_psi_phi|[5] p_phi_phi|[5] result|[5] P(result)|[5] H5|[5] H4|[5] H3|[5] H2|[5] H1
01111||||X||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Phi|0.8095|0.1621|0.1796|0.2046|0.2491|0.2046|0.0000|0.2491|[-0.18716005 -0.98232943]|[-0.98232943  0.18716005]|0.0553|0.9447|0.0192|0.9808|Phi|0.9808|0.1621|0.1796|0.2046|0.2491|0.2046
10000|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4745|0.2772|0.2277|0.1870|0.1390|0.1692|0.0000|0.2772|[-0.16989347 -0.98546243]|[-0.98546243  0.16989347]|0.0475|0.9525|0.0147|0.9853|Psi|0.0147|0.2772|0.2277|0.1870|0.1390|0.1692
10001|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4745|0.2772|0.2277|0.1870|0.1390|0.1692|0.0000|0.2772|[-0.16989347 -0.98546243]|[-0.98546243  0.16989347]|0.0475|0.9525|0.0147|0.9853|Phi|0.9853|0.2772|0.2277|0.1870|0.1390|0.1692
10010||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5255|0.2056|0.2502|0.2056|0.1527|0.1859|0.0000|0.2502|[-0.18639397 -0.98247508]|[-0.98247508  0.18639397]|0.0549|0.9451|0.0190|0.9810|Psi|0.0190|0.2056|0.2502|0.2056|0.1527|0.1859
10011||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5255|0.2056|0.2502|0.2056|0.1527|0.1859|0.0000|0.2502|[-0.18639397 -0.98247508]|[-0.98247508  0.18639397]|0.0549|0.9451|0.0190|0.9810|Phi|0.9810|0.2056|0.2502|0.2056|0.1527|0.1859
10100|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5068|0.1915|0.1915|0.2331|0.1732|0.2108|0.1915|0.2331|[-0.55263773 -0.83342159]|[-0.83342159  0.55263773]|0.3515|0.6485|0.2612|0.7388|Psi|0.2785|0.2417|0.1796|0.2186|0.1624|0.1977|0.0000|0.2417|[-0.19230443 -0.98133532]|[-0.98133532  0.19230443]|0.0577|0.9423|0.0207|0.9793|Psi|0.0207|0.2417|0.1796|0.2186|0.1624|0.1977
10101|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5068|0.1915|0.1915|0.2331|0.1732|0.2108|0.1915|0.2331|[-0.55263773 -0.83342159]|[-0.83342159  0.55263773]|0.3515|0.6485|0.2612|0.7388|Psi|0.2785|0.2417|0.1796|0.2186|0.1624|0.1977|0.0000|0.2417|[-0.19230443 -0.98133532]|[-0.98133532  0.19230443]|0.0577|0.9423|0.0207|0.9793|Phi|0.9793|0.2417|0.1796|0.2186|0.1624|0.1977
10110|||X|||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5068|0.1915|0.1915|0.2331|0.1732|0.2108|0.1915|0.2331|[-0.55263773 -0.83342159]|[-0.83342159  0.55263773]|0.3515|0.6485|0.2612|0.7388|Phi|0.7215|0.1721|0.1960|0.2387|0.1773|0.2159|0.0000|0.2387|[-0.19445122 -0.98091219]|[-0.98091219  0.19445122]|0.0587|0.9413|0.0213|0.9787|Psi|0.0213|0.1721|0.1960|0.2387|0.1773|0.2159
10111|||X|||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5068|0.1915|0.1915|0.2331|0.1732|0.2108|0.1915|0.2331|[-0.55263773 -0.83342159]|[-0.83342159  0.55263773]|0.3515|0.6485|0.2612|0.7388|Phi|0.7215|0.1721|0.1960|0.2387|0.1773|0.2159|0.0000|0.2387|[-0.19445122 -0.98091219]|[-0.98091219  0.19445122]|0.0587|0.9413|0.0213|0.9787|Phi|0.9787|0.1721|0.1960|0.2387|0.1773|0.2159
11000|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Psi|0.2007|0.2269|0.2269|0.1549|0.1765|0.2148|0.2269|0.2269|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4732|0.2633|0.2163|0.1476|0.1682|0.2047|0.0000|0.2633|[-0.17804603 -0.98402216]|[-0.98402216  0.17804603]|0.0511|0.9489|0.0168|0.9832|Psi|0.0168|0.2633|0.2163|0.1476|0.1682|0.2047
11001|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Psi|0.2007|0.2269|0.2269|0.1549|0.1765|0.2148|0.2269|0.2269|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4732|0.2633|0.2163|0.1476|0.1682|0.2047|0.0000|0.2633|[-0.17804603 -0.98402216]|[-0.98402216  0.17804603]|0.0511|0.9489|0.0168|0.9832|Phi|0.9832|0.2633|0.2163|0.1476|0.1682|0.2047
11010||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Psi|0.2007|0.2269|0.2269|0.1549|0.1765|0.2148|0.2269|0.2269|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5268|0.1943|0.2365|0.1614|0.1839|0.2239|0.0000|0.2365|[-0.19602257 -0.98059938]|[-0.98059938  0.19602257]|0.0595|0.9405|0.0218|0.9782|Psi|0.0218|0.1943|0.2365|0.1614|0.1839|0.2239
11011||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Psi|0.2007|0.2269|0.2269|0.1549|0.1765|0.2148|0.2269|0.2269|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5268|0.1943|0.2365|0.1614|0.1839|0.2239|0.0000|0.2365|[-0.19602257 -0.98059938]|[-0.98059938  0.19602257]|0.0595|0.9405|0.0218|0.9782|Phi|0.9782|0.1943|0.2365|0.1614|0.1839|0.2239
11100|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Phi|0.7993|0.1694|0.1694|0.1875|0.2136|0.2600|0.1694|0.2600|[-0.40183955 -0.91571009]|[-0.91571009  0.40183955]|0.1992|0.8008|0.1270|0.8730|Psi|0.1393|0.2423|0.1546|0.1711|0.1949|0.2372|0.0000|0.2423|[-0.19183628 -0.98142694]|[-0.98142694  0.19183628]|0.0575|0.9425|0.0206|0.9794|Psi|0.0206|0.2423|0.1546|0.1711|0.1949|0.2372
11101|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Phi|0.7993|0.1694|0.1694|0.1875|0.2136|0.2600|0.1694|0.2600|[-0.40183955 -0.91571009]|[-0.91571009  0.40183955]|0.1992|0.8008|0.1270|0.8730|Psi|0.1393|0.2423|0.1546|0.1711|0.1949|0.2372|0.0000|0.2423|[-0.19183628 -0.98142694]|[-0.98142694  0.19183628]|0.0575|0.9425|0.0206|0.9794|Phi|0.9794|0.2423|0.1546|0.1711|0.1949|0.2372
11110|||||X|0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Phi|0.7993|0.1694|0.1694|0.1875|0.2136|0.2600|0.1694|0.2600|[-0.40183955 -0.91571009]|[-0.91571009  0.40183955]|0.1992|0.8008|0.1270|0.8730|Phi|0.8607|0.1576|0.1718|0.1902|0.2166|0.2637|0.0000|0.2637|[-0.17776112 -0.98407367]|[-0.98407367  0.17776112]|0.0510|0.9490|0.0167|0.9833|Psi|0.0167|0.1576|0.1718|0.1902|0.2166|0.2637
11111|||||X|0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.6871|0.1810|0.1810|0.1810|0.2061|0.2510|0.1810|0.2510|[-0.45866872 -0.88860734]|[-0.88860734  0.45866872]|0.2517|0.7483|0.1718|0.8282|Phi|0.7993|0.1694|0.1694|0.1875|0.2136|0.2600|0.1694|0.2600|[-0.40183955 -0.91571009]|[-0.91571009  0.40183955]|0.1992|0.8008|0.1270|0.8730|Phi|0.8607|0.1576|0.1718|0.1902|0.2166|0.2637|0.0000|0.2637|[-0.17776112 -0.98407367]|[-0.98407367  0.17776112]|0.0510|0.9490|0.0167|0.9833|Phi|0.9833|0.1576|0.1718|0.1902|0.2166|0.2637
